Anulada;T_doc_Com;Desc_tipo_doc;Cl_Factura;Fe_Factura;Canal;tipo_persona;Resp_Pago;Poblacion;Vendedor;Sector;Material;DenominaciOn;Cant_Fact;Valor_Neto;Impuesto;Segmento;Marca;F_Pedido;Cant_desp;C_Material;Tot_C_Vta
NO ANULADO;M;Factura;ZF03;17/2/2022;RE;Natural;1000004152;0;3000000171;12;770-A1800423;MANTEL PALM 150X240CM CIRCULOS POLI;1;15,65;1,88;GQM_MCH;PALM SPRINGS HOMES;17/2/2022;1;8,62;8,62
NO ANULADO;M;Factura;ZF03;17/2/2022;RE;Natural;1000004152;0;3000000171;1;CKSTAFOV3-013;FREIDORA AIRE OSTER 10LT DIG/INCLUYE ACC;1;213,62;25,63;GQM_MCH;OSTER;17/2/2022;1;120,41;120,41
NO ANULADO;M;Factura;ZF03;17/2/2022;RE;Natural;1000011411;0;3000000020;5;KB125-C9B;MOTO CABALLITO KB125-C9B KENBO 125CC;1;583,93;70,07;GQM_MCH;KEMBO;17/2/2022;1;582,39;582,39
NO ANULADO;M;Factura;ZF03;17/2/2022;RE;Natural;1000011411;0;3000000020;5;M47044;BATERIA MOTO BB5L-B BOSCH 12V-5A;1;0,01;0;GQM_MCH;BOSCH;17/2/2022;1;22,84;22,84
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000001401;0;3000000075;0;FUNDA000021;FUNDA LOGO TOPACIO 42,5X39CM;1;0,01;0;TPC_SAM;NULL;18/2/2022;1;1,4;1,4
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000001401;0;3000000075;11;2407031;CUCHILLO MANTEQUILLA ALBI2 ACERO CHRIST;1;48,21;5,79;TPC_SAM;CHRISTOFLE;18/2/2022;1;20,38;20,38
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000001401;0;3000000075;11;2407028;CUCHILLO QUESO ALBI2 ACERO CHRISTOFLE;1;56,24;6,75;TPC_SAM;CHRISTOFLE;18/2/2022;1;29,83;29,83
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011412;0;3000000171;1;GCSTBS4951R-013;PLANCHA OSTER 1200W 180ML TEMP.V ROJO/GR;1;13,71;1,65;GQM_MCH;OSTER;18/2/2022;1;10,9;10,9
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011413;0;3000000171;1;CKSTAFOV3-013;FREIDORA AIRE OSTER 10LT DIG/INCLUYE ACC;1;237,36;28,48;GQM_MCH;OSTER;18/2/2022;1;120,41;120,41
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000009402;0;3000000171;1;AF-600;FREIDORA/AIRE PRIMA 1700W 5.7LT NEG;1;102,97;12,36;GQM_MCH;PRIMA;18/2/2022;1;55,13;55,13
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011416;0;3000000020;10;LDA15-110;SOPORTE BRACKET ACC P/TV TV 13-27PULG;1;0,01;0;GQM_MCH;BRACKET;18/2/2022;1;4,37;4,37
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011416;0;3000000020;4;KDL32MO672LN-1;TV 32 PRIMA SMART KUNTUR HD/NETFLIX/YOUT;1;218,97;26,28;GQM_MCH;PRIMA;18/2/2022;1;136,49;140,49
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011415;0;3000000171;1;RMP736FYEU;REFRIGERADORA MABE C/DISPENS AGUA 360LT;1;515,89;61,91;GQM_MCH;MABE;18/2/2022;1;396,85;396,85
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011415;0;3000000171;1;AF-600;FREIDORA/AIRE PRIMA 1700W 5.7LT NEG;2;205,95;24,71;GQM_MCH;PRIMA;18/2/2022;2;110,26;110,26
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011420;0;3000000171;1;BLSTFC-W00-011;PICATODO OSTER ACC PLASTICO TODA LICUA;1;23,21;2,79;GQM_MCH;OSTER;18/2/2022;1;12,03;12,03
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000008445;SAMBORONDON;3000000075;0;FUNDA000022;FUNDA LOGO TOPACIO 56,5X50CM;2;0,02;0;TPC_SAM;NULL;18/2/2022;2;4,92;4,92
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000008445;SAMBORONDON;3000000075;11;9319C18077K27330;COPA HELADO PRAGUE CRISTAL BOHEMIA JIHLA;12;107,16;12,86;TPC_SAM;B JIHLAVA;18/2/2022;12;44,96;44,96
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000008445;SAMBORONDON;3000000075;11;4256006;MARCO FOTO MALMAISON 13X18CM PLATEADO;2;691,08;82,93;TPC_SAM;CHRISTOFLE;18/2/2022;2;349,09;349,09
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000008445;SAMBORONDON;3000000075;11;9270452;TAPA BOTELLA BEADED PLATEADO GREGGIO;1;53,57;6,43;TPC_SAM;GREGGIO;18/2/2022;1;31,22;31,22
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011196;0;3000000020;0;700090593-070;ALMOHADA BR SPA 70X50 SET X 2 GIFT;1;0,01;0;GQM_MCH;SIMMONS;18/2/2022;1;0;0
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011196;0;3000000020;0;700061142-160;PROTECTOR DE COLCHON 2.5PL PLUMON;1;35,71;4,29;GQM_MCH;SIMMONS;18/2/2022;1;24,38;24,38
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011196;0;3000000020;0;700045884-160;COLCHON SIMMONS PT LUX FIRM INTERM 2.5PL;1;481,34;57,76;GQM_MCH;SIMMONS;18/2/2022;1;320,09;320,09
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000007571;PASAJE;3000000171;1;KEC-1702RE;HERVIDOR ELEC 1.7 L PRIMA 1100 W ROJO;1;11,77;1,41;GQM_MCH;PRIMA;18/2/2022;1;7,11;7,11
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000010458;0;3000000171;1;GCSTBS5903-013;PLANCHA OSTER 1200W 240ML VAPOR ROC VERD;1;18,18;2,18;GQM_MCH;OSTER;18/2/2022;1;12,28;12,28
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011422;0;3000000020;1;BLSTPYG1209B-013;LICU OSTER 600W 3VL 1.5L REVERS NEGRO;1;87,09;10,45;GQM_MCH;OSTER;18/2/2022;1;55,35;55,35
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000011423;0;3000000020;3;SDK300;REPRODUCTOR TOSHIBA KARAOKE SD-K300K5;1;24,11;2,89;GQM_MCH;TOSHIBA;18/2/2022;1;34,53;34,53
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Natural;1000000127;MACHALA;3000000171;7;FR-2650DT;CALCULADORA CASSIO BLANCO;1;42,2;5,06;GQM_MCH;CASSIO;18/2/2022;1;33,76;33,76
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Juridico;1000000671;GUAYAQUIL;3000000248;10;8MM;CASSETTE MAXEL 8MM 120MIN HI 8 P6-1;1;3,12;0,37;GQM_MCH;MAXEL;18/2/2022;1;3,09;3,09
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Juridico;1000000671;GUAYAQUIL;3000000248;1;CO207P;SECADORA CABELLO CONAIR INFINITY;1;30,38;3,65;GQM_MCH;CONAIR;18/2/2022;1;30,08;30,08
NO ANULADO;M;Factura;ZF03;18/2/2022;RE;Juridico;1000000671;GUAYAQUIL;3000000248;7;KW-MB007;CELULAR PRIMA DUO CHIP/TV/RADIO FM NEGRO;1;133,78;16,05;GQM_MCH;PRIMA;18/2/2022;1;132,46;132,46
